InputDictionarySize,Test1Results,Test2Results
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0
1000,0,1
1100,0,1
1200,0,0
1300,1,1
1400,1,1
1500,1,1
1600,1,1
1700,1,2
1800,1,1
1900,1,2
2000,2,2
2100,2,2
2200,1,2
2300,2,2
2400,2,3
2500,2,3
2600,2,3
2700,3,3
2800,2,4
2900,3,4
3000,3,4
3100,3,5
3200,3,5
3300,3,5
3400,4,6
3500,4,6
3600,4,7
3700,4,7
3800,5,7
3900,5,8
4000,5,8
4100,6,9
4200,6,9
4300,6,9
4400,6,10
4500,7,10
4600,7,11
4700,7,11
4800,8,11
4900,7,12
5000,8,12
5100,8,13
5200,8,14
5300,9,14
5400,9,15
5500,9,16
5600,10,16
5700,10,17
5800,11,18
5900,11,18
6000,11,19
6100,11,20
6200,12,21
6300,12,22
6400,13,23
6500,13,23
6600,13,24
6700,14,25
6800,14,25
6900,15,26
7000,15,27
7100,16,27
7200,16,28
7300,16,29
7400,17,31
7500,18,31
7600,18,32
7700,18,33
7800,19,33
7900,19,34
8000,21,35
8100,21,36
8200,21,37
8300,22,38
8400,22,39
8500,23,43
8600,23,42
8700,24,43
8800,25,43
8900,25,44
9000,25,45
9100,25,46
9200,26,47
9300,27,50
9400,28,49
9500,29,51
9600,29,52
9700,30,53
9800,30,55
9900,31,56
10000,31,57
10100,32,57
10200,33,60
10300,33,60
10400,34,61
10500,35,63
10600,35,64
10700,35,65
10800,37,67
10900,38,68
11000,37,69
11100,38,72
11200,39,72
11300,40,73
11400,40,77
11500,42,76
11600,42,78
11700,42,78
11800,43,80
11900,45,83
12000,45,84
12100,46,84
12200,46,86
12300,48,88
12400,48,89
12500,49,90
12600,50,92
12700,50,94
12800,53,95
12900,52,97
13000,54,98
13100,54,98
13200,54,103
13300,57,105
13400,58,104
13500,57,106
13600,58,108
13700,58,114
13800,59,111
13900,60,112
14000,61,116
14100,62,116
14200,63,120
14300,64,119
14400,65,121
14500,66,122
14600,67,126
14700,69,126
14800,70,127
14900,70,129
15000,71,137
15100,73,134
15200,73,136
15300,73,137
15400,75,141
15500,75,140
15600,77,142
15700,77,145
15800,78,147
15900,79,149
16000,80,152
16100,81,153
16200,82,154
16300,83,156
16400,84,158
16500,86,159
16600,86,163
16700,88,164
16800,87,167
16900,92,167
17000,93,170
17100,93,173
17200,93,175
17300,93,175
17400,95,177
17500,96,180
17600,97,183
17700,97,183
17800,99,189
17900,100,189
18000,103,190
18100,102,192
18200,102,197
18300,104,202
18400,106,199
18500,107,200
18600,108,206
18700,109,203
18800,114,209
18900,111,210
19000,112,212
19100,115,216
19200,115,215
19300,119,222
19400,118,222
19500,120,226
19600,120,225
19700,122,228
19800,123,230
19900,123,233
