InputListSize,Test1Results,Test2Results,Test3Results
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,1,0,0
1000,0,0,0
1100,0,0,0
1200,1,0,0
1300,0,0,0
1400,1,0,0
1500,1,0,0
1600,1,0,0
1700,1,0,0
1800,1,0,0
1900,1,0,0
2000,1,0,0
2100,2,0,0
2200,2,0,0
2300,2,0,0
2400,2,0,0
2500,2,0,0
2600,3,0,0
2700,3,0,0
2800,3,0,0
2900,3,0,0
3000,4,0,0
3100,4,0,0
3200,4,0,0
3300,5,0,0
3400,4,0,0
3500,5,0,0
3600,5,0,0
3700,6,0,0
3800,6,0,0
3900,6,0,0
4000,7,0,0
4100,7,0,0
4200,7,0,0
4300,8,0,0
4400,8,0,0
4500,8,0,0
4600,9,0,0
4700,9,0,0
4800,9,0,0
4900,10,0,0
5000,10,0,0
5100,11,0,0
5200,11,0,0
5300,12,0,0
5400,12,0,0
5500,12,0,0
5600,13,0,0
5700,13,0,0
5800,14,0,0
5900,14,0,0
6000,15,0,0
6100,15,0,0
6200,16,0,0
6300,16,0,0
6400,17,0,0
6500,18,0,0
6600,18,0,0
6700,19,0,0
6800,20,0,0
6900,20,0,0
7000,21,0,0
7100,21,0,0
7200,22,0,0
7300,22,0,0
7400,22,0,0
7500,23,0,0
7600,23,0,0
7700,25,0,0
7800,25,0,0
7900,26,0,0
8000,26,0,0
8100,27,0,0
8200,28,0,0
8300,29,0,0
8400,29,0,0
8500,30,0,0
8600,30,0,0
8700,34,0,0
8800,32,0,0
8900,33,0,0
9000,33,0,0
9100,34,0,0
9200,35,0,0
9300,36,0,0
9400,37,0,0
9500,37,0,0
9600,38,0,0
9700,39,0,0
9800,40,0,0
9900,41,0,0
10000,41,0,0
10100,43,0,0
10200,44,0,0
10300,45,0,0
10400,45,0,0
10500,45,0,0
10600,46,0,0
10700,47,0,0
10800,48,0,0
10900,49,0,0
11000,50,0,0
11100,52,0,0
11200,51,0,0
11300,53,0,0
11400,54,0,0
11500,55,0,0
11600,56,0,0
11700,57,0,0
11800,60,0,0
11900,61,0,0
12000,60,0,0
12100,61,0,0
12200,62,0,0
12300,66,0,0
12400,65,0,0
12500,66,0,0
12600,67,0,0
12700,68,0,0
12800,69,0,0
12900,72,0,0
13000,71,0,0
13100,75,0,0
13200,73,0,0
13300,77,0,0
13400,76,0,0
13500,78,0,0
13600,80,0,0
13700,80,0,0
13800,83,0,0
13900,83,0,0
14000,83,0,0
14100,92,0,0
14200,87,0,0
14300,86,0,0
14400,88,0,0
14500,98,0,0
14600,92,0,0
14700,93,0,0
14800,94,0,0
14900,95,0,0
15000,96,0,0
15100,99,0,0
15200,99,0,0
15300,102,0,0
15400,103,0,0
15500,104,0,0
15600,105,0,0
15700,109,0,0
15800,110,0,0
15900,110,0,0
16000,111,0,0
16100,115,0,0
16200,115,0,0
16300,116,0,0
16400,116,0,0
16500,123,0,0
16600,121,0,0
16700,122,0,0
16800,123,0,0
16900,124,0,0
17000,126,0,0
17100,129,0,0
17200,132,0,0
17300,131,0,0
17400,132,0,0
17500,134,0,0
17600,140,0,0
17700,138,0,0
17800,141,0,0
17900,140,0,0
18000,143,0,0
18100,143,0,0
18200,145,0,0
18300,148,0,0
18400,152,0,0
18500,168,0,0
18600,152,0,0
18700,157,0,0
18800,156,0,0
18900,160,0,0
19000,158,0,0
19100,161,0,0
19200,164,0,0
19300,164,0,0
19400,171,0,0
19500,167,0,0
19600,171,0,0
19700,174,0,0
19800,176,0,0
19900,176,0,0
