InputIndices,TestResults
0,0
100,0
200,0
300,1
400,0
500,0
600,1
700,1
800,2
900,1
1000,2
1100,2
1200,2
1300,2
1400,2
1500,2
1600,2
1700,3
1800,3
1900,3
2000,3
2100,3
2200,3
2300,4
2400,4
2500,4
2600,5
2700,4
2800,4
2900,4
3000,5
3100,5
3200,5
3300,5
3400,7
3500,6
3600,6
3700,6
3800,6
3900,6
4000,7
4100,7
4200,6
4300,7
4400,7
4500,7
4600,7
4700,7
4800,7
4900,8
5000,8
5100,8
5200,8
5300,8
5400,9
5500,8
5600,9
5700,9
5800,10
5900,10
6000,12
6100,10
6200,11
6300,11
6400,11
6500,11
6600,12
6700,12
6800,12
6900,12
7000,13
7100,13
7200,14
7300,13
7400,13
7500,14
7600,18
7700,14
7800,14
7900,15
8000,14
8100,15
8200,16
8300,15
8400,15
8500,16
8600,16
8700,15
8800,16
8900,16
9000,19
9100,16
9200,17
9300,17
9400,17
9500,17
9600,17
9700,18
9800,18
9900,18
10000,19
10100,19
10200,19
10300,18
10400,19
10500,19
10600,18
10700,17
10800,18
10900,17
11000,17
11100,17
11200,17
11300,17
11400,16
11500,17
11600,16
11700,16
11800,16
11900,15
12000,15
12100,16
12200,15
12300,15
12400,14
12500,14
12600,14
12700,14
12800,13
12900,14
13000,13
13100,13
13200,13
13300,12
13400,12
13500,12
13600,12
13700,11
13800,12
13900,11
14000,11
14100,10
14200,10
14300,10
14400,9
14500,9
14600,9
14700,8
14800,9
14900,9
15000,8
15100,8
15200,8
15300,8
15400,7
15500,7
15600,7
15700,7
15800,7
15900,7
16000,6
16100,7
16200,6
16300,6
16400,6
16500,6
16600,6
16700,5
16800,6
16900,5
17000,5
17100,5
17200,5
17300,5
17400,4
17500,4
17600,4
17700,4
17800,4
17900,3
18000,3
18100,3
18200,2
18300,3
18400,2
18500,3
18600,2
18700,2
18800,2
18900,2
19000,2
19100,1
19200,2
19300,1
19400,1
19500,1
19600,0
19700,1
19800,0
19900,0
