ListSizes,TestResult
0,0
1000,2
2000,3
3000,4
4000,8
5000,7
6000,10
7000,13
8000,13
9000,17
10000,18
11000,20
12000,23
13000,25
14000,26
15000,27
16000,29
17000,30
18000,32
19000,34
20000,37
21000,40
22000,42
23000,45
24000,47
25000,50
26000,52
27000,56
28000,56
29000,60
30000,66
31000,65
32000,66
33000,69
34000,69
35000,71
36000,74
37000,76
38000,80
39000,82
40000,84
41000,84
42000,84
43000,88
44000,92
45000,96
46000,93
47000,96
48000,99
49000,104
50000,106
51000,106
52000,111
53000,113
54000,117
55000,118
56000,116
57000,118
58000,120
59000,123
60000,126
61000,125
62000,127
63000,128
64000,134
65000,133
66000,141
67000,146
68000,142
69000,149
70000,144
71000,146
72000,153
73000,150
74000,155
75000,160
76000,163
77000,166
78000,164
79000,160
80000,171
81000,161
82000,172
83000,176
84000,178
85000,180
86000,185
87000,184
88000,203
89000,203
90000,205
91000,206
92000,216
93000,212
94000,219
95000,215
96000,222
97000,218
98000,221
99000,233
100000,230
101000,231
102000,232
103000,236
104000,242
105000,237
106000,242
107000,246
108000,249
109000,247
110000,255
111000,255
112000,262
113000,258
114000,261
115000,263
116000,267
117000,282
118000,265
119000,276
120000,275
121000,280
122000,287
123000,292
124000,285
125000,287
126000,282
127000,294
128000,295
129000,299
130000,305
131000,299
132000,303
133000,309
134000,310
135000,316
136000,329
137000,330
138000,323
139000,329
140000,323
141000,332
142000,329
143000,333
144000,341
145000,334
146000,336
147000,334
148000,346
149000,338
150000,352
151000,350
152000,350
153000,368
154000,351
155000,368
156000,368
157000,357
158000,366
159000,373
160000,372
161000,366
162000,373
163000,378
164000,383
165000,382
166000,384
167000,394
168000,406
169000,382
170000,403
171000,398
172000,401
173000,403
174000,409
175000,404
176000,406
177000,409
178000,415
179000,416
180000,415
181000,417
182000,412
183000,430
184000,427
185000,431
186000,437
187000,441
188000,425
189000,427
190000,439
191000,433
192000,444
193000,453
194000,452
195000,447
196000,450
197000,462
198000,463
199000,464
