K,TestResult
0,500
1000,489
2000,497
3000,485
4000,489
5000,488
6000,500
7000,492
8000,491
9000,501
10000,491
11000,486
12000,485
13000,492
14000,487
15000,502
16000,491
17000,485
18000,483
19000,480
20000,484
21000,484
22000,479
23000,485
24000,484
25000,486
26000,486
27000,478
28000,480
29000,477
30000,478
31000,476
32000,472
33000,475
34000,474
35000,468
36000,472
37000,469
38000,468
39000,462
40000,469
41000,467
42000,471
43000,467
44000,469
45000,456
46000,463
47000,470
48000,461
49000,464
50000,459
51000,464
52000,456
53000,459
54000,456
55000,466
56000,451
57000,459
58000,453
59000,467
60000,470
61000,465
62000,449
63000,458
64000,451
65000,453
66000,455
67000,453
68000,452
69000,454
70000,452
71000,448
72000,458
73000,454
74000,458
75000,454
76000,452
77000,461
78000,456
79000,449
80000,452
81000,467
82000,448
83000,451
84000,452
85000,448
86000,450
87000,446
88000,443
89000,449
90000,446
91000,446
92000,445
93000,451
94000,441
95000,437
96000,437
97000,437
98000,450
99000,440
100000,437
101000,440
102000,446
103000,443
104000,433
105000,441
106000,447
107000,431
108000,430
109000,433
110000,442
111000,433
112000,430
113000,432
114000,430
115000,428
116000,438
117000,438
118000,437
119000,437
120000,435
121000,431
122000,425
123000,427
124000,426
125000,428
126000,427
127000,424
128000,426
129000,429
130000,422
131000,424
132000,424
133000,420
134000,422
135000,425
136000,425
137000,418
138000,424
139000,414
140000,417
141000,421
142000,417
143000,421
144000,418
145000,418
146000,416
147000,410
148000,416
149000,419
150000,416
151000,416
152000,414
153000,418
154000,415
155000,416
156000,408
157000,415
158000,415
159000,410
160000,407
161000,421
162000,411
163000,410
164000,410
165000,409
166000,414
167000,411
168000,407
169000,412
170000,411
171000,406
172000,411
173000,414
174000,415
175000,410
176000,411
177000,416
178000,406
179000,411
180000,413
181000,405
182000,415
183000,405
184000,404
185000,404
186000,403
187000,409
188000,410
189000,401
190000,399
191000,402
192000,407
193000,402
194000,396
195000,400
196000,405
197000,399
198000,403
199000,399
