DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,1,1,1
2000,2,2,3
3000,3,3,5
4000,4,4,6
5000,8,6,8
6000,9,9,9
7000,12,9,10
8000,16,10,11
9000,24,15,20
10000,26,17,17
11000,31,18,21
12000,36,20,20
13000,41,21,21
14000,47,23,23
15000,53,25,22
16000,64,27,23
17000,89,39,35
18000,100,44,36
19000,107,44,37
20000,119,46,40
21000,129,49,39
22000,153,54,40
23000,163,56,44
24000,175,62,43
25000,194,63,42
26000,218,66,43
27000,216,68,46
28000,225,75,46
29000,278,80,47
30000,296,86,48
31000,281,85,51
32000,347,92,53
33000,407,120,74
34000,456,125,76
35000,464,135,75
36000,504,138,77
37000,510,145,78
38000,577,150,78
39000,581,155,78
40000,663,167,85
41000,679,168,80
42000,674,170,81
43000,755,188,87
44000,796,189,85
45000,719,192,93
46000,874,203,89
47000,913,210,87
48000,882,224,92
49000,933,233,91
50000,971,237,94
51000,1075,239,93
52000,1191,250,96
53000,1266,256,93
54000,1268,260,95
55000,1341,277,100
56000,1340,287,96
57000,1337,303,97
58000,1488,310,98
59000,1333,308,100
60000,1491,322,106
61000,1576,344,104
62000,1604,357,102
63000,1622,357,112
64000,1734,351,106
65000,1744,386,107
66000,2270,444,153
67000,2126,466,156
68000,2226,489,153
69000,2310,484,157
70000,2567,483,158
71000,2614,491,158
72000,2625,529,159
73000,2600,510,162
74000,2487,525,167
75000,2544,552,167
76000,2659,581,170
77000,2769,571,165
78000,2703,558,167
79000,2654,609,165
